Departamento|Provincia|Distrito|Nombre|Telefono|x_gis|y_gis
SAN_MARTIN|EL_DORADO|SAN_JOSE_DE_SISA|HOSPITAL_RURAL_SAN_JOSE_DE_SISA|942149611|-76.68859624|-6.61475542
SAN_MARTIN|SAN_MARTIN|SAUCE|DOS_DE_MAYO|940643228|-76.20835123|-6.70847957
SAN_MARTIN|EL_DORADO|SAN_MARTIN|CASHNAHUASI|942471662|-76.8623366|-6.44007598
SAN_MARTIN|SAN_MARTIN|JUAN_GUERRA|YACUCATINA|945853701|-76.30328708|-6.69109467
SAN_MARTIN|EL_DORADO|AGUA_BLANCA|AGUA_BLANCA|987340473|-76.6920135|-6.72580816
SAN_MARTIN|PICOTA|PUCACACA|CEDRO_PAMPA|956911201|-76.32403415|-6.86349874
SAN_MARTIN|PICOTA|SHAMBOYACU|VISTA_ALEGRE|920023129|-76.10153055|-7.05233385
SAN_MARTIN|LAMAS|RUMISAPA|CHURUZAPA|042-543326|-76.48926649|-6.47319599
SAN_MARTIN|SAN_MARTIN|SAN_ANTONIO|SAN_ANTONIO_DE_CUMBAZA|958693927|-76.41015916|-6.40631171
SAN_MARTIN|LAMAS|ZAPATERO|SAN_FERNANDO|965992406|-76.45430267|-6.60211265
SAN_MARTIN|LAMAS|BARRANQUITA|PUERTO_PIZARRO|984080421|-75.964485|-6.16266833
SAN_MARTIN|LAMAS|BARRANQUITA|EL_PIÑAL|042-813835|-76.04780167|-6.39427
SAN_MARTIN|MOYOBAMBA|MOYOBAMBA|ATUMPLAYA|#996370333|-77.24328833|-5.85579333
SAN_MARTIN|MOYOBAMBA|MOYOBAMBA|NUEVA_HUANCABAMBA|964977062|-77.118035|-5.80509667
SAN_MARTIN|MOYOBAMBA|JEPELACIO|SAN_MATEO|042-562160|-76.983895|-6.10969
SAN_MARTIN|RIOJA|ELIAS_SOPLIN_VARGAS|PUERTO_BAGAZAN|98811393|-77.25534817|-6.0707616
SAN_MARTIN|HUALLAGA|SACANCHE|LA_UNION|954605526|-76.7141428|-7.0702487
SAN_MARTIN|BELLAVISTA|SAN_PABLO|SAN_PABLO|961924591|-76.5735193|-6.8080907
SAN_MARTIN|HUALLAGA|SAPOSOA|INTIYACU|042-547219|-76.71702833|-6.97150667
SAN_MARTIN|HUALLAGA|ALTO_SAPOSOA|PASARRAYA|042-547219|-76.81486333|-6.76566667
SAN_MARTIN|MOYOBAMBA|MOYOBAMBA|SAN_JOSE_DE_ALTO_MAYO|949553306|-77.37377167|-5.69228167
SAN_MARTIN|MOYOBAMBA|SORITOR|ALTO_PERU|947591205|-77.09482667|-6.3001
SAN_MARTIN|MARISCAL_CACERES|CAMPANILLA|PERLAMAYO|(042)_812641|-76.67734422|-7.60665249
SAN_MARTIN|LAMAS|ALONSO_DE_ALVARADO|ALAN_GARCIA|986121927|-76.74019726|-6.38823267
SAN_MARTIN|TOCACHE|TOCACHE|PUSHURUMBO|997023003|-76.63992189|-8.27730414
SAN_MARTIN|HUALLAGA|PISCOYACU|NUEVO_SACANCHE|938777550|-76.831595|-7.021915
